state_fips,name,rate_raw,ci_lo,ci_hi,count_raw,trend,rate,avg_annual_count,status,title,site,site_code
18000,Indiana,39.4,38.8,40.1,3148,falling,39.4,3148,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
20000,Kansas,39.4,38.4,40.3,1342,stable,39.4,1342,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
17000,Illinois,39.1,38.6,39.5,5945,falling,39.1,5945,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
47000,Tennessee,38.8,38.1,39.4,3214,stable,38.8,3214,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
38000,North Dakota,38.6,36.7,40.6,337,falling,38.6,337,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
31000,Nebraska,38.6,37.4,39.8,870,falling,38.6,870,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
39000,Ohio,38.4,38.0,38.9,5635,falling,38.4,5635,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
34000,New Jersey,38.3,37.8,38.8,4381,stable,38.3,4381,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
48000,Texas,38.3,38.0,38.6,11477,stable,38.3,11477,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
15000,Hawaii,38.2,36.9,39.5,715,stable,38.2,715,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
42000,Pennsylvania,37.1,36.6,37.5,6307,falling,37.1,6307,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
72001,Puerto Rico,36.7,35.9,37.5,1730,falling,36.7,1730,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
30000,Montana,36.4,35.0,38.0,511,falling,36.4,511,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
27000,Minnesota,36.3,35.7,37.0,2443,stable,36.3,2443,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
11001,District of Columbia,36.3,34.2,38.4,238,falling,36.3,238,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
12000,Florida,36.1,35.8,36.4,10964,falling,36.1,10964,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
56000,Wyoming,36.1,34.0,38.2,252,stable,36.1,252,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
45000,South Carolina,35.9,35.3,36.6,2318,stable,35.9,2318,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
36000,New York,35.8,35.4,36.1,8828,stable,35.8,8828,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
23000,Maine,35.7,34.4,37.0,685,stable,35.7,685,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
26000,Michigan,35.6,35.1,36.1,4456,falling,35.6,4456,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
37000,North Carolina,35.5,35.1,36.0,4440,falling,35.5,4440,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
16000,Idaho,35.5,34.3,36.7,748,stable,35.5,748,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
24000,Maryland,35.1,34.5,35.7,2567,stable,35.1,2567,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
55000,Wisconsin,34.9,34.3,35.6,2531,stable,34.9,2531,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
32000,Nevada,34.9,34.0,35.7,1280,stable,34.9,1280,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
09000,Connecticut,34.6,33.8,35.4,1581,stable,34.6,1581,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
33000,New Hampshire,34.6,33.3,35.9,627,stable,34.6,627,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
06000,California,34.2,33.9,34.4,15138,falling,34.2,15138,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
53000,Washington,34,33.4,34.6,2968,stable,34.0,2968,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
51000,Virginia,33.8,33.3,34.3,3417,falling,33.8,3417,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
10000,Delaware,33.6,32.2,35.1,437,falling,33.6,437,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
35000,New Mexico,33.2,32.2,34.2,864,stable,33.2,864,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
41000,Oregon,32.2,31.5,33.0,1677,stable,32.2,1677,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
44000,Rhode Island,32,30.7,33.4,445,stable,32.0,445,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
04000,Arizona,32,31.5,32.6,2854,stable,32.0,2854,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
50000,Vermont,32,30.2,33.8,276,stable,32.0,276,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
25000,Massachusetts,31.3,30.8,31.9,2682,falling,31.3,2682,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
08000,Colorado,31.2,30.6,31.9,1973,falling,31.2,1973,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
49000,Utah,29.7,28.8,30.6,858,stable,29.7,858,ok,"Colon & Rectum (All Stages^), 2018-2022",colorectal,020
21000,Kentucky,83.7,82.6,84.8,4958,falling,83.7,4958,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
54000,West Virginia,75.9,74.4,77.4,2073,falling,75.9,2073,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
05000,Arkansas,70.4,69.2,71.6,2818,falling,70.4,2818,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
28000,Mississippi,68.3,67.1,69.5,2601,falling,68.3,2601,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
29000,Missouri,67.9,67.0,68.7,5584,falling,67.9,5584,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
47000,Tennessee,66.6,65.8,67.4,5999,falling,66.6,5999,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
23000,Maine,66.3,64.8,67.9,1454,falling,66.3,1454,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
18000,Indiana,65,64.3,65.8,5569,falling,65.0,5569,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
39000,Ohio,63.6,63.0,64.1,10146,falling,63.6,10146,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
40000,Oklahoma,62.9,61.9,63.9,3081,falling,62.9,3081,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
37000,North Carolina,61.9,61.3,62.5,8372,falling,61.9,8372,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
22000,Louisiana,60.9,60.0,61.8,3539,falling,60.9,3539,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
19000,Iowa,60,58.9,61.1,2555,falling,60.0,2555,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
26000,Michigan,58.7,58.1,59.3,8123,falling,58.7,8123,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
44000,Rhode Island,58.6,56.9,60.4,882,falling,58.6,882,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
33000,New Hampshire,58.3,56.7,59.8,1181,falling,58.3,1181,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
17000,Illinois,57.8,57.2,58.3,9294,falling,57.8,9294,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
01000,Alabama,57.6,56.8,58.4,3886,falling,57.6,3886,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
45000,South Carolina,57.4,56.6,58.2,4085,falling,57.4,4085,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
42000,Pennsylvania,56.5,56.0,57.0,10493,falling,56.5,10493,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
10000,Delaware,56,54.3,57.8,822,falling,56.0,822,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
13000,Georgia,55.4,54.8,56.0,6845,falling,55.4,6845,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
55000,Wisconsin,55.1,54.4,55.8,4415,falling,55.1,4415,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
25000,Massachusetts,55,54.4,55.7,5116,falling,55.0,5116,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
09000,Connecticut,54.1,53.1,55.0,2672,falling,54.1,2672,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
38000,North Dakota,53.8,51.7,56.0,504,stable,53.8,504,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
50000,Vermont,53.8,51.7,55.9,529,falling,53.8,529,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
27000,Minnesota,53.8,53.0,54.5,3905,falling,53.8,3905,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
46000,South Dakota,53.6,51.7,55.6,625,falling,53.6,625,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
12000,Florida,53.3,52.9,53.6,17931,falling,53.3,17931,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
36000,New York,52.4,52.0,52.8,13817,falling,52.4,13817,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
20000,Kansas,52.2,51.1,53.2,1921,falling,52.2,1921,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
02900,Alaska,51.7,49.2,54.2,387,falling,51.7,387,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
31000,Nebraska,51.5,50.2,52.8,1255,falling,51.5,1255,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
51000,Virginia,50.9,50.3,51.5,5510,falling,50.9,5510,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
24000,Maryland,48.7,48.0,49.5,3787,falling,48.7,3787,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
