nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source
NCT06807632,lung,Lung & thoracic,,lung,0,conditions
NCT06330064,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT05068232,lung,Lung & thoracic,,lung,0,conditions
NCT07017816,brain_cns,Brain & CNS,,brain_cns,1,conditions
NCT06356571,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT07108114,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07528352,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT05482893,multi,Multiple cancer types / basket or umbrella,multiple named cancers,gastric_esophageal;liver_biliary;pancreatic,0,conditions
NCT05019716,other_named,Other named cancer,,other_named,0,conditions
NCT07095452,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT06912087,head_neck,Head & neck,,head_neck,1,conditions
NCT06797635,breast,Breast,,breast,0,conditions
NCT03587844,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06011109,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT04077099,lung,Lung & thoracic,,lung,0,conditions
NCT06305299,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT07073547,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT04858009,pancreatic,Pancreatic,,pancreatic,1,conditions
NCT05029999,breast,Breast,,breast,0,conditions
NCT07426484,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT05536349,leukemia,Leukemia,,leukemia,0,conditions
NCT03997643,head_neck,Head & neck,,head_neck,0,conditions
NCT05876715,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT04852887,breast,Breast,,breast,0,conditions
NCT07491497,lung,Lung & thoracic,,lung,0,conditions
NCT06883097,other_unclassified,Other / unclassified,,,0,none
NCT05825482,breast,Breast,,breast,0,conditions
NCT06833073,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT06817720,leukemia,Leukemia,,leukemia,0,conditions
NCT06928662,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT06194929,melanoma_skin,Melanoma & skin,,melanoma_skin,1,conditions
NCT05537896,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07147179,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT07237269,prostate,Prostate,,prostate,0,conditions
NCT06514794,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
NCT05849480,liver_biliary,Liver & biliary,,liver_biliary,0,conditions
NCT06198296,multi,Multiple cancer types / basket or umbrella,multiple named cancers,kidney;liver_biliary;sarcoma,1,conditions
NCT07023627,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT04838041,leukemia,Leukemia,,leukemia,0,conditions
NCT07425054,other_named,Other named cancer,,other_named,0,conditions
NCT06220656,neuroendocrine_endocrine,Neuroendocrine & endocrine,,neuroendocrine_endocrine,0,conditions
NCT07464951,leukemia,Leukemia,,leukemia,0,conditions
NCT02422641,breast,Breast,,breast,1,conditions
NCT06377566,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06087861,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT06171269,prostate,Prostate,,prostate,0,conditions
NCT06672705,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT05357794,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06989437,pancreatic,Pancreatic,,pancreatic,0,conditions
NCT06330805,prostate,Prostate,,prostate,0,conditions
NCT06511037,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06594939,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06618274,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06440005,multi,Multiple cancer types / basket or umbrella,multiple named cancers,breast;colorectal;liver_biliary;pancreatic;prostate;sarcoma,1,conditions
NCT03858205,myeloma,Myeloma & plasma cell,,myeloma,1,conditions
NCT06954805,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06178354,prostate,Prostate,,prostate,0,conditions
NCT04643002,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT07413939,breast,Breast,,breast,0,conditions
NCT07030712,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT03424005,breast,Breast,,breast,0,conditions
NCT01853631,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
NCT07249372,lung,Lung & thoracic,,lung,0,conditions
NCT05541822,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT04300556,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT05245812,breast,Breast,,breast,0,conditions
NCT06554795,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT04145622,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT05987241,multi,Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;other_named,0,conditions
NCT04900623,head_neck,Head & neck,,head_neck,0,conditions
NCT07221474,lung,Lung & thoracic,,lung,0,conditions
NCT04928846,lung,Lung & thoracic,,lung,0,conditions
NCT06712927,melanoma_skin,Melanoma & skin,,melanoma_skin,1,conditions
NCT06735690,leukemia,Leukemia,,leukemia,0,conditions
NCT07218341,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
